1,スマホのようなもの,冒険のヒント等を見る事ができる。
617,ｳｫｰﾙｽｷﾝ・ｳｯﾄﾞC,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
618,ｳｫｰﾙｽｷﾝ・ｳｯﾄﾞD,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
619,ｳｫｰﾙｽｷﾝ・ｸﾗｼｯｸ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
620,ｳｫｰﾙｽｷﾝ・ｸﾗｼｯｸB,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
621,ｳｫｰﾙｽｷﾝ・ｸﾗｼｯｸC,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
622,ｳｫｰﾙｽｷﾝ・ｸﾗｼｯｸD,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
623,ｳｫｰﾙｽｷﾝ・ｴﾚｶﾞﾝﾄ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
624,ｳｫｰﾙｽｷﾝ・ｴﾚｶﾞﾝﾄB,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
625,ｳｫｰﾙｽｷﾝ・ｴﾚｶﾞﾝﾄC,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
626,ｳｫｰﾙｽｷﾝ・ｽﾄｰﾝ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
627,ｳｫｰﾙｽｷﾝ・ｽﾄｰﾝB,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
628,ｳｫｰﾙｽｷﾝ・ｽﾄｰﾝC,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
629,ｳｫｰﾙｽｷﾝ・ﾛｲﾔﾙ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
630,ｳｫｰﾙｽｷﾝ・ﾛｲﾔﾙB,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
631,ｳｫｰﾙｽｷﾝ・ｽﾄﾚﾝｼﾞ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
632,ｳｫｰﾙｽｷﾝ・ｽﾄﾚﾝｼﾞB,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
633,ｳｫｰﾙｽｷﾝ・ｵﾘｴﾝﾄ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
634,ｳｫｰﾙｽｷﾝ・ﾗｲﾌﾞﾗﾘ,壁を一部改装し、理想の部屋作りを可能にする。
【サイズ1×2】【タイプ変更可】
635,,
636,,
637,ギャンブルテーブル,命を懸けた勝負師達の戦場。
【サイズ3×2】
638,ビリヤードテーブル,ビリヤードの台。絶対に飲食物を置いてはいけない。
【サイズ3×2】
639,ルーレットテーブル,カジノの女王とも呼ばれ、回転する円盤を用いたゲーム。
【サイズ3×2】
640,スロッター,コインで動作するギャンブル用ゲーム筐体。
【サイズ1×2】
641,ACゲームマシン,ｱﾐｭｰｽﾞﾒﾝﾄ施設等に設置された業務用ゲーム筐体。
【サイズ1×2】
642,ミニルーレット,小型のインテリア用ルーレット。
【サイズ1×1】
643,ダーツボード,小型のダーツボード。コルク製の為、消耗品。
【サイズ1×1】
644,ジュークボックス,硬貨を投入する事で音楽を再生する自動販売機の一種。
【サイズ1×2】【BGM再生可】
645,,
646,インテリアピクチャ,小型の絵画。部屋のアクセントに
【サイズ1×1】
647,インテリアピクチャB,小型の絵画。部屋のアクセントに
【サイズ1×1】
648,インテリアピクチャC,小型の絵画。部屋のアクセントに
【サイズ1×1】
649,インテリアピクチャD,小型の絵画。部屋のアクセントに
【サイズ1×1】
650,インテリアピクチャE,小型の絵画。部屋のアクセントに
【サイズ1×1】
651,インテリアピクチャF,小型の絵画。部屋のアクセントに
【サイズ1×1】
652,インテリアピクチャG,小型の絵画。部屋のアクセントに
【サイズ1×1】
653,インテリアピクチャH,小型の絵画。部屋のアクセントに
【サイズ1×1】
654,インテリアピクチャI,小型の絵画。部屋のアクセントに
【サイズ2×1】
655,インテリアピクチャJ,小型の絵画。部屋のアクセントに
【サイズ2×1】
656,インテリアピクチャK,小型の絵画。部屋のアクセントに
【サイズ2×1】
657,ホモビ型ロボットの名画,ホモビ型ロボットが描かれた大きな絵画。
【サイズ3×3】
658,,
659,アーティストラグ,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:さんのた
660,アーティストラグB,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:シバシ
661,アーティストラグC,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:そめちめ
662,アーティストラグD,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:sema
663,アーティストラグE,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:白妙もやし
664,アーティストラグF,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:いまさうおさ
665,アーティストラグG,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:？
666,アーティストラグH,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:？
667,アーティストラグI,とあるアーティストによる敷物。踏めない。
【サイズ4×3】Designer:？
668,カリグラ・ショドー,美しい東洋の造形芸術。
【サイズ3×1】
669,カリグラ・ショドーB,美しい東洋の造形芸術。
【サイズ3×1】
670,カリグラ・ショドーC,美しい東洋の造形芸術。
【サイズ3×1】
671,カリグラ・ショドーD,美しい東洋の造形芸術。
【サイズ3×1】
672,カリグラ・ショドーE,美しい東洋の造形芸術。
【サイズ3×1】
673,カリグラ・ショドーF,美しい東洋の造形芸術。
【サイズ3×1】
674,マテリアル・ショドー,美しい東洋の造形芸術。シグキンモチーフ。
【サイズ3×1】
675,マテリアル・ショドーB,美しい東洋の造形芸術。バチキンモチーフ。
【サイズ3×1】
676,マテリアル・ショドーC,美しい東洋の造形芸術。Jackモチーフ。
【サイズ3×1】
677,マテリアル・ショドーD,美しい東洋の造形芸術。マリキンモチーフ。
【サイズ3×1】
678,マテリアル・ショドーE,美しい東洋の造形芸術。フサキンモチーフ。
【サイズ3×1】
679,マテリアル・ショドーF,美しい東洋の造形芸術。シュミタロウモチーフ。
【サイズ3×1】
680,オシャカ・ショドー,美しい東洋の造形芸術。「天上天下唯我独尊」
【サイズ3×1】
681,,
682,,
683,クラス・トロフィー【M】,皆伝試練を突破した者に送られる輝くトロフィー。
【サイズ1×2】
684,クラス・トロフィー【O】,ﾏｻﾞｲﾌﾛﾝﾃｨｱを制覇した者に送られる輝くトロフィー。
【サイズ1×2】
685,クラス・トロフィー【4】,偉業を成し遂げた者に送られる輝くトロフィー。
【サイズ1×2】
686,スノードール,溶けない魔法の雪で作られた氷像。
【サイズ:1×1】
687,,
688,,
689,ネオチータ・アグ,飼育用の虐待羊。何があっても起きない。
【サイズ:1×1】
690,フサーケン・タンク,飼育用のフサーケン。暇そう。
【サイズ:2×2】
691,シャウティング・マリ,飼育用のマリキオス。防音室での飼育を推奨。
【サイズ:1×2】
692,,
693,,
694,ホモビ・ドール,ホモビ型ロボットを忠実に再現したレプリカ。
【サイズ:2×2】
695,トゥルン・ドール,ﾌﾟﾙｰﾄｩﾙﾝﾄｩﾙﾝを忠実に再現したレプリカ。
【サイズ:4×4】
696,ヘルハウンド・ドール,ヘルハウンドを忠実に再現したレプリカ。
【サイズ:4×4】
697,ヴァニタス・ドール,ヴァニタスを忠実に再現したレプリカ。
【サイズ:8×8】
698,カタストロフィ・ドール,カタストロフィを1/4で再現したレプリカ。
【サイズ:12×14】
699,憎しみ,その全てが『『『憎しみ』』』なんだ
【サイズ:憎×憎】
700,戻る,ルームユニットの設置をキャンセルします。
701,,
702,時渡の箱：シグキン,謎の箱だ。
703,時渡の箱：バチキン,謎の箱だ。
704,時渡の箱：オツキン,謎の箱だ。
705,時渡の箱：シュミタロウ,謎の箱だ。
706,時渡の箱：Jack,謎の箱だ。
707,時渡の箱：氷虎,謎の箱だ。
708,時渡の箱：マリキン,謎の箱だ。
709,時渡の箱：フサキン,謎の箱だ。
710,時渡の箱：あづキン,謎の箱だ。
711,時渡の箱：エクレア,謎の箱だ。
712,時渡の箱：アクシズ,謎の箱だ。
713,時渡の箱：カシキン,謎の箱だ。
714,時渡の箱：ざくろ,謎の箱だ。
715,時渡の箱：フク郎,謎の箱だ。
716,時渡の箱：ウイエ,謎の箱だ。
717,時渡の箱：荒川,謎の箱だ。
718,時渡の箱：太陽,謎の箱だ。
719,,
720,トリップカード,マスタべ温泉宿の女将が主催する
スタンプラリーのカード。
721,モロバレポート,どこでも何度でもセーブできる奇跡の手帳。
ショートカット：\{\I[6713]\}
722,キネーシスカード,メサイアパレスで入手したカードキー。
723,ダクトの鍵A,メサイアパレスで入手した小型の鍵。
724,ダクトの鍵B,メサイアパレスで入手した小型の鍵。
725,ダクトの鍵C,メサイアパレスで入手した小型の鍵。
726,超サッチュボンバ,敵全体に大ダメージ。虫系のエネミーに効果絶大！
【物:\I[6142]】
727,超チャフボンバ,敵全体に大ダメージ。マシン系のエネミーに効果絶大！
【物:\I[6142]】
728,,
729,クエイクボンバ,道をふさぐ巨大な岩を爆破できる。
730,戻る,
731,超クエイクボンバ,道をふさぐ巨大な岩を爆破できる。
相当な強度を誇る岩石をも 破壊する爆発力を持つ。
732,ゼロオニキス,レアリティ:\C[17]★★★★
\C[0]山脈の高層でのみ生成される邪気払いの石。
733,エルドランド,レアリティ:\C[17]★★★★
\C[0]黄金の輝きを魅せる発見例の少ない結晶体。
734,ドエロサイト,レアリティ:\C[17]★★★★
\C[0]いやしい心情を察知すると爆発する危険物質。
735,メビウストーン,レアリティ:\C[17]★★★★
\C[0]浄化のエネルギーが凝縮された天然の宝石。
736,バリカタナイト,レアリティ:\C[17]★★★★
\C[0]ドライアイスのような強烈な冷気を放つ希少な魔石。
737,ガンギマリウム,レアリティ:\C[17]★★★★
\C[0]マザイアナイトの濃度が極限まで高くなった宝石。
738,ロートルマリン,レアリティ:\C[17]★★★★
\C[0]美しい紅色は長生きのパワーが秘められている。
739,アマゾンヌ原石,レアリティ:\C[17]★★★★
\C[0]深海のような深みのある蒼が美しい貴重な天然石。
740,オロロオーロラ,レアリティ:\C[17]★★★★
\C[0]二日酔いに強くなるという七色に輝く宝石。
741,,
742,コイン\V[423]枚,
743,コイン\V[423]枚,\V[771]連チャン！！
744,コイン\V[423]枚,SST 終了！
\V[771]連チャン継続し、\V[773]枚 勝利した！
745,コイン\V[423]枚,S　S　T 　突　入　！　！
746,30000BP,
747,刑務所,
748,100000BP,
749,アチチシリンダー,攻撃用の魔剤。敵単体に熱爆属性のダメージを与える。
【魔:\I[6120]】
750,ビリリシリンダー,攻撃用の魔剤。敵単体に雷撃属性のダメージを与える。
【魔:\I[6122]】
751,ゴゴゴシリンダー,攻撃用の魔剤。敵単体に風撃属性のダメージを与える。
【魔:\I[6123]】
752,カチチシリンダー,攻撃用の魔剤。敵単体に氷撃属性のダメージを与える。
【魔:\I[6124]】
753,ゴボボシリンダー,攻撃用の魔剤。敵単体に水撃属性のダメージを与える。
【魔:\I[6121]】
754,上マザイ,味方一人のMPを 50回復する。
755,上赤マザイ,味方一人の攻撃力を二段階 強化する。
すこし早めに使用できる。
756,上青マザイ,味方一人の防御力を二段階 強化する。
すこし早めに使用できる。
757,上アチチシリンダー,攻撃用の魔剤。敵単体に熱爆属性のダメージを与える。
【魔:\I[6120]】
758,上ビリリシリンダー,攻撃用の魔剤。敵単体に雷撃属性のダメージを与える。
【魔:\I[6122]】
759,上ゴゴゴシリンダー,攻撃用の魔剤。敵単体に風撃属性のダメージを与える。
【魔:\I[6123]】
760,上カチチシリンダー,攻撃用の魔剤。敵単体に氷撃属性のダメージを与える。
【魔:\I[6124]】
761,上ゴボボシリンダー,攻撃用の魔剤。敵単体に水撃属性のダメージを与える。
【魔:\I[6121]】
762,超アチチシリンダー,攻撃用の魔剤。敵単体に熱爆属性のダメージを与える。
【魔:\I[6120]】
763,超ビリリシリンダー,攻撃用の魔剤。敵単体に雷撃属性のダメージを与える。
【魔:\I[6122]】
764,超ゴゴゴシリンダー,攻撃用の魔剤。敵単体に風撃属性のダメージを与える。
【魔:\I[6123]】
765,超カチチシリンダー,攻撃用の魔剤。敵単体に氷撃属性のダメージを与える。
【魔:\I[6124]】
766,超ゴボボシリンダー,攻撃用の魔剤。敵単体に水撃属性のダメージを与える。
【魔:\I[6121]】
767,禁忌の錬成教本,超級錬成が可能になる禁断の教本。
768,メタリカシリンダー,攻撃用の魔剤。メタルボディにダメージを与える。
【魔:\I[6142]】
769,ボンバシリンダー,用途不明の劇薬。
かつてない程のパワーを感じるが、戦闘には使えなそう。
770,トーチカカプセル,使用ターンの間、味方一人を鉄壁状態にする。
ターンを消費せず 即発動する。 \C[21]所持数制限:3
771,ウルトラソウルポーション,味方一人をマジギレ覚醒させる。
ターンを消費せず 即発動する。 \C[21]所持数制限:3
772,,
773,フォトフレームA,フレーム『ショコラパニッシャー』が使用できる。
774,フォトフレームB,フレーム『キメキメハリケーン』が使用できる。
775,フォトフレームC,フレーム『オスシサイクロン』が使用できる。
776,フォトフレームD,フレーム『サルバト・レイ』が使用できる。
777,フォトフレームE,フレーム『漢の一品』が使用できる。
778,フォトフレームF,フレーム『アクシズハウス』が使用できる。
779,フォトフレームG,フレーム『ババア行くぞ！！』が使用できる。
780,,
781,フォトフレームH,フレーム『カレーパンマリキンBB』が使用できる。
782,,
783,,
784,マザフロコイン:キル,マザイフロンティア優勝者に贈られる記念コイン。
785,マザフロコイン:イツキ,マザイフロンティア優勝者に贈られる記念コイン。
786,マザフロコイン:フィコ,マザイフロンティア優勝者に贈られる記念コイン。
787,マザフロコイン:オサール,マザイフロンティア優勝者に贈られる記念コイン。
788,マザフロコイン:後輩,マザイフロンティア優勝者に贈られる記念コイン。
789,マザフロコイン:ガブキン,マザイフロンティア優勝者に贈られる記念コイン。
790,マザフロコイン:ギンガ,マザイフロンティア優勝者に贈られる記念コイン。
791,マザフロコイン:ジェルカ,マザイフロンティア優勝者に贈られる記念コイン。
792,マザフロコイン:シン&シオリ,マザイフロンティア優勝者に贈られる記念コイン。
793,♪Lilium,サウンドテストに『Lilium』が追加される。
794,♪KILLER MACHINE,サウンドテストに『KILLER MACHINE』が追加される。
795,♪Dominator-X,サウンドテストに『Dominator-X』が追加される。
796,,
797,,
798,,
799,,
800,エクストリガー,ボックス・対戦相手に『メサイアパレス』で出現した
エネミーが出現するようになる。
801,,
802,,
803,,
804,GPポスター,DJライブイベント開催を記念したデザインアート。
【サイズ:2×2】
805,GPバックモニター,ライブを彩るGPロゴが映し出されたモニター。
【サイズ:3×2】
806,限界ネコ,ネコと和解せよ
【サイズ:1×1】
807,ロング限界ネコ,ネコと和解せよ
【サイズ:1×2】
808,,
809,レッドダイヤモンド,トライアルを突破した者に贈られる
ダイヤモンド。
810,オレンジダイヤモンド,トライアルを突破した者に贈られる
ダイヤモンド。
811,イエローダイヤモンド,トライアルを突破した者に贈られる
ダイヤモンド。
812,グリーンダイヤモンド,トライアルを突破した者に贈られる
ダイヤモンド。
813,ブルーダイヤモンド,トライアルを突破した者に贈られる
ダイヤモンド。
814,パープルダイヤモンド,トライアルを突破した者に贈られる
ダイヤモンド。
815,ピンクダイヤモンド,トライアルを突破した者に贈られる
ダイヤモンド。
816,ブラックダイヤモンド,トライアルを突破した者に贈られる
ダイヤモンド。
817,,
818,100000EXP,
819,100000BP,
820,コール,試作
821,アナライズレフ,試作
822,,
823,ヌルマ珠,熱を帯びた宝珠。錬成の材料に使えそう。
824,ヤケド珠,熱を帯びた宝珠。錬成の材料に使えそう。
825,シャクネツ珠,熱を帯びた宝珠。錬成の材料に使えそう。
826,,
827,ピリリ珠,電気を帯びた宝珠。錬成の材料に使えそう。
828,シビレ珠,電気を帯びた宝珠。錬成の材料に使えそう。
829,デンゲキ珠,電気を帯びた宝珠。錬成の材料に使えそう。
830,,
831,ソヨカゼ珠,風のチカラが込められた宝珠。錬成の材料に使えそう。
832,レップウ珠,風のチカラが込められた宝珠。錬成の材料に使えそう。
833,ハリケン珠,風のチカラが込められた宝珠。錬成の材料に使えそう。
834,,
835,ツメテ珠,冷気をまとった宝珠。錬成の材料に使えそう。
836,ドライ珠,冷気をまとった宝珠。錬成の材料に使えそう。
837,キンキン珠,冷気をまとった宝珠。錬成の材料に使えそう。
838,,
839,ナガレ珠,水を産み出す宝珠。錬成の材料に使えそう。
840,オボレ珠,水を産み出す宝珠。錬成の材料に使えそう。
841,シンカイ珠,水を産み出す宝珠。錬成の材料に使えそう。
842,,
843,エンデ・ドリル,三倍の量の鉱石を採掘できる最後のツルハシ。
破壊確率･10%
844,,
845,ナナメサンドセット,ナナメサンドの食材を割安で梱包したパッケージ。
846,ニテツおにぎりセット,ニテツおにぎりの食材を割安で梱包したパッケージ。
847,コナイラーメンセット,コナイラーメンの食材を割安で梱包したパッケージ。
848,ダンドリーチキンセット,ダンドリーチキンの食材を割安で梱包したパッケージ。
849,モニングトーストセット,モニングトーストの食材を割安で梱包したパッケージ。
850,マキタマゴセット,マキタマゴの食材を割安で梱包したパッケージ。
851,シラユリオムライスセット,シラユリオムライスの食材を割安で梱包したパッケージ。
852,モリモリハンバーグセット,モリモリハンバーグの食材を割安で梱包したパッケージ。
853,アオリイカの丸焼きセット,アオリイカの丸焼きの食材を割安で梱包したパッケージ。
854,ペロスカトーレセット,ペロスカトーレの食材を割安で梱包したパッケージ。
855,パカパカパッツァセット,パカパカパッツァの食材を割安で梱包したパッケージ。
856,にんじんフルコースセット,にんじんフルコースの食材を割安で梱包したパッケージ。
857,パカパルカレーセット,パカパルカレーの食材を割安で梱包したパッケージ。
858,オサルポテトパイセット,オサルポテトパイの食材を割安で梱包したパッケージ。
859,,
860,5000BP,
861,10000BP,
862,,
863,短小色鉛筆さん,短小色鉛筆さん
【サイズ:1×1】
864,みかんゼリーさん,みかんゼリーさん
【サイズ:1×1】
865,マザイゼリーさん,マザイゼリーさん
【サイズ:1×1】
866,ｵﾍﾟｱﾝﾌﾟｸﾜｶﾞﾀさん,ｵﾍﾟｱﾝﾌﾟｸﾜｶﾞﾀさん
【サイズ:1×2】
867,ﾕﾘﾚｲｽﾞｵｵｶﾌﾞﾄさん,ﾕﾘﾚｲｽﾞｵｵｶﾌﾞﾄさん
【サイズ:1×2】
868,ジャーマンさん,ジャーマンさん
【サイズ:1×2】
869,直送ワゴン,特産品を購入できる機能的なワゴン。
【サイズ:3×2】
870,地球,太陽系の惑星。様々な生物が存在する。
【サイズ:3×3】
871,木星,太陽系の惑星。ガスを主成分とするガス惑星に分類される。
【サイズ:4×4】
872,土星,太陽系の惑星。木星に次いで2番目に大きな惑星。
【サイズ:8×5】
873,太陽,太陽系の惑星。推測年齢約46億年。
【サイズ:16×16】
874,ﾌﾞﾗｯｸ･ﾎｰﾙ,光でさえも 脱出不能の天体。
【サイズ:知らん】
875,ジリジリさん,ジリジリさん
【サイズ:1×2】
876,ﾌﾞﾙｰｼｰｶｰさん,ﾌﾞﾙｰｼｰｶｰさん
【サイズ:1×2】
877,クソマムシさん,クソマムシさん
【サイズ:1×2】
878,捕食者さん,捕食者さん
【サイズ:1×2】
879,おマンティスさん,おマンティスさん
【サイズ:1×2】
880,ﾛｰｽﾞﾊﾝﾀｰさん,ﾛｰｽﾞﾊﾝﾀｰさん
【サイズ:1×2】
881,タチバサミさん,タチバサミさん
【サイズ:1×1】
882,ｼｭｰｼｪｰﾚさん,ｼｭｰｼｪｰﾚさん
【サイズ:1×1】
883,ポメさん,ポメさん
【サイズ:1×1】
884,メタポメさん,メタポメさん
【サイズ:1×1】
885,金ポメさん,金ポメさん
【サイズ:1×1】
886,,
887,スロカスコープ,ミリオンスロット終了時に子役当選数を表示できる。
888,インビテレター,マザイフロンティア挑戦時、決勝戦において
指名した コンダクターが 確率で出現する。(50%)
889,【\V[767]回転目】ｺｲﾝ5枚,\V[767]回転！
890,【\V[767]回転目】ｺｲﾝ50枚,
891,【\V[767]回転目】ｺｲﾝ500枚,\V[767]回転！
892,\V[3]パシリEXP,現在のパシリEXP：\V[480]
893,\V[1]パシリEXP,現在のパシリEXP：\V[480]
894,\V[1]BP,現在所持BP：\V[212]
895,ｾﾌﾞﾝｳｫｰｶｰさん,ｾﾌﾞﾝｳｫｰｶｰさん
【サイズ:1×2】
896,ﾂｧｰﾘｳｫｰｶｰさん,ﾂｧｰﾘｳｫｰｶｰさん
【サイズ:1×2】
897,ﾅｲﾁﾝｹﾞｰﾙさん,ﾅｲﾁﾝｹﾞｰﾙさん
【サイズ:1×2】
898,ｱﾏｿﾞﾝﾏｼﾝさん,ｱﾏｿﾞﾝﾏｼﾝさん
【サイズ:1×2】
899,ｵﾘｼﾞﾝﾎﾞﾝﾊﾞさん,ｵﾘｼﾞﾝﾎﾞﾝﾊﾞさん
【サイズ:1×2】
900,ﾏｺﾄﾆｱｻﾞﾄｰｽさん,ﾏｺﾄﾆｱｻﾞﾄｰｽさん
【サイズ:1×2】
901,十六夜,沼達の専用武装を模したインテリア。
【サイズ:1×1】
902,特殊弾薬ｷﾘﾝｸﾞﾎﾟｯｷｰ,沼達の専用武装を模したインテリア。
【サイズ:1×1】
903,スペアマテリア,沼達の専用武装を模したインテリア。
【サイズ:1×1】
904,シークレットレシピ,沼達の専用武装を模したインテリア。
【サイズ:1×1】
905,キングペーパー,沼達の専用武装を模したインテリア。
【サイズ:1×1】
906,ザ・ツール,沼達の専用武装を模したインテリア。
【サイズ:1×1】
907,リビングプリカ,沼達の専用武装を模したインテリア。
【サイズ:1×1】
908,エラ呼吸の書,沼達の専用武装を模したインテリア。
【サイズ:1×1】
909,緋電の矢筒,沼達の専用武装を模したインテリア。
【サイズ:1×1】
910,インジェクト･ハイ,沼達の専用武装を模したインテリア。
【サイズ:1×1】
911,ハードヘドンホ,沼達の専用武装を模したインテリア。
【サイズ:1×1】
912,ゴールドポット,沼達の専用武装を模したインテリア。
【サイズ:1×1】
913,ピンキーシンガー,沼達の専用武装を模したインテリア。
【サイズ:1×1】
914,オールブレンド,沼達の専用武装を模したインテリア。
【サイズ:1×1】
915,ストーリーテラー,沼達の専用武装を模したインテリア。
【サイズ:1×1】
916,秘蔵の巻寿司,沼達の専用武装を模したインテリア。
【サイズ:1×1】
917,パワー聖書,沼達の専用武装を模したインテリア。
【サイズ:1×1】
918,,
919,,
920,突起物王者さん,突起物王者さん
【サイズ:1×3】
921,,
922,小型グレネード,兵士の亡骸から頂戴した小型爆弾
923,上ジャスミンマザイ,味方一人のHPを 200回復し、
ｲﾝﾌﾙ･ﾔｸ漬･催眠･頭痛･目潰し･封印･ﾃﾞﾌﾞを回復する。
924,,
925,退職届さん,退職届さん
【サイズ:1×1】
926,給料袋さん,給料袋さん
【サイズ:1×1】
927,ﾌｪｱﾘｰじゃっくさん,ﾌｪｱﾘｰじゃっくさん
【サイズ:1×1】
928,ﾅｲﾁﾝｹﾞｰﾙｵﾒｶﾞさん,ﾅｲﾁﾝｹﾞｰﾙｵﾒｶﾞさん
【サイズ:1×2】
929,ｶｵｽﾁﾝﾊﾟﾝｼﾞｰさん,ｶｵｽﾁﾝﾊﾟﾝｼﾞｰさん
【サイズ:1×2】
930,くもざくろさん,くもざくろさん
【サイズ:1×1】
931,ユリクネさん,ユリクネさん
【サイズ:1×1】
932,ざくろ猫さん,ざくろ猫さん
【サイズ:1×1】
933,ｱﾙﾌｧﾄﾛﾌｨさん,ｱﾙﾌｧﾄﾛﾌｨさん
【サイズ:1×1】
934,ｻﾃﾗｲﾄﾊﾞﾍﾞﾙさん,ｻﾃﾗｲﾄﾊﾞﾍﾞﾙさん
【サイズ:1×1】
935,ｶﾚｰﾊﾟﾝﾏﾘｷﾝさん,ｶﾚｰﾊﾟﾝﾏﾘｷﾝさん
【サイズ:1×1】
936,ﾍﾟｲﾝﾌﾞﾚｰﾄﾞさん,ﾍﾟｲﾝﾌﾞﾚｰﾄﾞさん
【サイズ:1×1】
937,ﾘﾝｺﾞﾙｺﾞｰﾝさん,ﾘﾝｺﾞﾙｺﾞｰﾝさん
【サイズ:1×1】
938,アザポッドさん,アザポッドさん
【サイズ:1×2】
939,ｽｰﾊﾟｰｼﾞﾘｼﾞﾘさん,ｽｰﾊﾟｰｼﾞﾘｼﾞﾘさん
【サイズ:1×2】
940,ﾌｧﾝﾀｺﾌﾞﾗさん,ﾌｧﾝﾀｺﾌﾞﾗさん
【サイズ:1×2】
941,,
942,,
943,ﾌﾛｯｸﾞｼｸﾞﾏさん,ﾌﾛｯｸﾞｼｸﾞﾏさん
【サイズ:1×2】
944,,
945,,
946,,
947,,
948,石堀り男さん,石堀り男さん
【サイズ:1×2】
949,詫び石マンさん,詫び石マンさん
【サイズ:1×1】
950,ﾅﾅﾎｼｸﾞﾏさん,ﾅﾅﾎｼｸﾞﾏさん
【サイズ:1×1】
951,,
952,,
953,,
954,,
955,,
956,,
957,,
958,,
959,,
960,,
961,,
962,,
963,,
964,,
965,,
966,パンチラキャラメル,ジャミウォックが 常に隠し持っている 甘いキャラメル。
967,捕食者全書,捕食者の 対処法などが 細かに記された本。
968,防水ゲーム機,アザゲーターの 口内に住んでいる ジャーマンの私物。
969,ホットオイル,アラクスが 愛飲している 温かいオイル。無糖。
970,汽水湖の伝説,ネオチータ汽水湖で ごくまれに発見される
海龍の ヒレのようなもの。寿司のにおいがする。
971,アメイジングミルク,カルシウムが異常に含まれている 高級牛乳。
飲んだ翌日は 成長痛で 動けなくなる。
972,賢者の廃棄物,紐で括られている 随分と古びた 書物の束。
表紙には エッチなお姉さんが 描かれている。
973,,
974,超クスネルハンド,モンスターから アイテムを 採取するための手袋。
以前の 倍の精度を 誇るが、過信は禁物。
975,,
976,,
977,,
978,,
979,,
980,,
